trial,seconds,ms,parse_ok,wire_cmd,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,0.8248252000000775,824.8252000000775,1,SET 1,202,7,821.3938,320.7585,57.2907,355.9567,
2,0.7619919000001119,761.9919000001119,1,SET 1,202,7,757.6709,292.9712,58.5119,322.7307,
3,0.8226736999999957,822.6736999999957,1,SET 1,202,7,819.6007,367.3896,51.2786,318.8726,
4,0.7978504000000157,797.8504000000157,1,SET 1,202,7,795.0469,339.0075,55.1693,317.1565,
5,0.8135835000000498,813.5835000000498,1,SET 1,202,7,809.2776,346.3846,54.7843,322.729,
6,0.786999700000024,786.999700000024,1,SET 1,202,7,782.473,330.9961,54.3008,315.6348,
7,0.8035690000001523,803.5690000001523,1,SET 1,202,7,799.7464,334.6381,56.715,323.5187,
8,0.8100380999999288,810.0380999999288,1,SET 1,202,7,807.725,342.3772,56.2496,324.8999,
9,0.8135044000000562,813.5044000000562,1,SET 1,202,7,809.8152,336.5478,57.7947,326.9956,
10,0.8179268999999749,817.9268999999749,1,SET 1,202,7,813.773,336.3584,56.9922,334.4794,
11,0.7813873999998577,781.3873999998577,1,SET 1,202,7,778.5006,297.4331,54.6312,341.529,
12,0.7804621999998744,780.4621999998744,1,SET 1,202,7,776.3501,292.0723,59.7204,340.0239,
13,0.7882571000000098,788.2571000000098,1,SET 1,202,7,784.3762,325.1119,54.2441,318.4326,
14,0.8140000999999302,814.0000999999302,1,SET 1,202,7,809.815,343.2702,54.4883,324.5951,
15,0.8047745999999734,804.7745999999734,1,SET 1,202,7,802.2673,340.8112,53.2357,323.4253,
16,0.7945200000001478,794.5200000001478,1,SET 1,202,7,791.1434,326.6368,55.753,323.2712,
17,0.816932000000179,816.932000000179,1,SET 1,202,7,812.9438,348.3405,55.5906,324.3619,
18,0.821745399999827,821.745399999827,1,SET 1,202,7,818.3164,345.2237,54.3902,333.6546,
19,0.7979564999998274,797.9564999998274,1,SET 1,202,7,794.1813,330.1734,56.4359,324.8008,
20,0.8188357000001361,818.8357000001361,1,SET 1,202,7,815.6833,335.6352,58.0756,336.0563,
21,0.8078335999998671,807.8335999998671,1,SET 1,202,7,804.4886,318.7266,56.9563,346.4227,
22,0.7633739000000332,763.3739000000332,1,SET 1,202,7,758.9653,286.0642,58.4083,331.9361,
23,0.8176974000000428,817.6974000000428,1,SET 1,202,7,814.1105,354.62,53.7011,321.0522,
24,0.8118555999999444,811.8555999999444,1,SET 1,202,7,808.4264,340.9953,54.924,321.753,
25,0.8026245000000927,802.6245000000927,1,SET 1,202,7,799.6714,339.0018,53.0711,322.8822,
26,0.8021848000000773,802.1848000000773,1,SET 1,202,7,799.2909,341.5166,53.998,318.5445,
27,0.8032415999998648,803.2415999998648,1,SET 1,202,7,798.8625,336.9644,53.8377,327.0135,
28,0.8020305000000008,802.0305000000008,1,SET 1,202,7,797.317,326.8717,67.1042,322.9243,
29,0.7998624000001655,799.8624000001655,1,SET 1,202,7,795.0196,334.7831,55.0286,320.9695,
30,0.829306699999961,829.306699999961,1,SET 1,202,7,825.5265,357.4974,57.5151,327.3315,
31,0.8126019999999698,812.6019999999698,1,SET 1,202,7,809.8547,316.3431,52.6138,352.0992,
32,0.7614608000001226,761.4608000001226,1,SET 1,202,7,757.0825,285.1819,60.2617,328.1639,
33,0.8233065000001716,823.3065000001716,1,SET 1,202,7,819.9298,354.4567,54.1433,324.9996,
34,0.8101228999998966,810.1228999998966,1,SET 1,202,7,806.9232,327.3046,54.6778,339.9051,
35,0.7923565999999482,792.3565999999482,1,SET 1,202,7,788.615,325.2744,56.3429,325.7807,
36,0.8001268999998956,800.1268999998956,1,SET 1,202,7,796.9678,334.1412,55.4914,322.7826,
37,0.7919973000000482,791.9973000000482,1,SET 1,202,7,788.3282,320.936,57.1857,327.29,
38,0.839920500000062,839.920500000062,1,SET 1,202,7,837.0348,351.5467,58.4914,337.5728,
39,0.7899124999999003,789.9124999999003,1,SET 1,202,7,787.8331,317.9779,57.8195,326.8872,
40,0.8013323000000128,801.3323000000128,1,SET 1,202,7,798.5812,335.6463,55.9577,323.1099,
41,0.8356939000000239,835.6939000000239,1,SET 1,202,7,833.3581,337.1562,56.0898,350.22,
42,0.7781356999998934,778.1356999998934,1,SET 1,202,7,775.0423,296.6656,60.9734,332.2347,
43,0.7737895000000208,773.7895000000208,1,SET 1,202,7,770.7509,314.1292,54.5739,317.0652,
44,0.7959263999998711,795.9263999998711,1,SET 1,202,7,793.6427,341.2241,53.7794,311.6764,
45,0.8027547000001505,802.7547000001505,1,SET 1,202,7,800.8186,336.3968,56.6585,322.3473,
46,0.7741401999999198,774.1401999999198,1,SET 1,202,7,770.9804,298.8024,55.6341,333.2317,
47,0.7870084999999563,787.0084999999563,1,SET 1,202,7,783.9178,315.7086,54.6068,328.5997,
48,0.8110283000000891,811.0283000000891,1,SET 1,202,7,806.7201,338.6641,57.2197,328.4724,
49,0.8096259999999802,809.6259999999802,1,SET 1,202,7,806.7384,337.0226,58.612,326.9987,
50,0.7691339000000426,769.1339000000426,1,SET 1,202,7,765.8791,303.0229,55.954,327.0266,
51,0.7627266000001782,762.7266000001782,1,SET 1,202,7,760.4722,300.2259,52.3567,326.2906,
52,0.8016231999999945,801.6231999999945,1,SET 1,202,7,798.8138,331.3585,53.8649,326.2715,
53,0.8086993000001712,808.6993000001712,1,SET 1,202,7,805.2204,338.6064,54.2182,325.3006,
54,0.8121345999998084,812.1345999998084,1,SET 1,202,7,809.5645,338.6472,57.5171,330.7189,
55,0.7823481999998876,782.3481999998876,1,SET 1,202,7,779.6349,307.7058,55.5746,331.95,
56,0.7978080999998838,797.8080999998838,1,SET 1,202,7,795.6039,326.8216,57.7546,328.9396,
57,0.776029699999981,776.029699999981,1,SET 1,202,7,773.0535,303.4064,57.1109,327.3368,
58,0.8289139000000887,828.9139000000887,1,SET 1,202,7,826.2171,340.5242,55.3843,343.96,
59,0.7953489999999874,795.3489999999874,1,SET 1,202,7,793.1712,325.4277,55.9255,327.7137,
60,0.7681351000001087,768.1351000001087,1,SET 1,202,7,764.7806,305.0196,55.4927,321.0678,
