trial,seconds,ms,parse_ok,wire_cmd,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,1.4293752000012319,1429.3752000012319,1,BLINK 1 50 50,220,23,1424.8403,243.2601,52.9243,1102.696,
2,1.4471794000000955,1447.1794000000955,1,BLINK 1 50 50,220,23,1443.1912,259.1588,53.7605,1097.529,
3,1.4138801000008243,1413.8801000008243,1,BLINK 1 50 50,220,23,1410.1883,223.3889,52.9163,1112.6325,
4,1.468472099999417,1468.472099999417,1,BLINK 1 50 50,220,23,1464.8495,280.7021,51.1993,1110.8574,
5,1.4111575999995694,1411.1575999995694,1,BLINK 1 50 50,220,23,1405.1631,242.6804,50.2097,1098.5187,
6,1.4507068000002619,1450.7068000002619,1,BLINK 1 50 50,220,23,1445.6089,266.5365,53.4678,1108.4368,
7,1.4458572000003187,1445.8572000003187,1,BLINK 1 50 50,220,23,1442.0581,262.3995,51.6097,1103.755,
8,1.4696242999998503,1469.6242999998503,1,BLINK 1 50 50,220,23,1465.4977,279.946,53.4878,1112.4684,
9,1.438087299999097,1438.087299999097,1,BLINK 1 50 50,220,23,1432.5991,247.6578,53.3925,1115.3629,
10,1.4481739999991987,1448.1739999991987,1,BLINK 1 50 50,220,23,1444.6928,255.3598,51.9549,1112.0703,
11,1.4495291000002908,1449.5291000002908,1,BLINK 1 50 50,220,23,1445.6982,260.9208,48.3644,1110.6167,
12,1.4220855999992636,1422.0855999992636,1,BLINK 1 50 50,220,23,1419.014,235.825,52.8184,1109.3729,
13,1.4795616999999766,1479.5616999999766,1,BLINK 1 50 50,220,23,1476.1617,288.2714,52.5726,1114.1912,
14,1.4481869000010192,1448.1869000010192,1,BLINK 1 50 50,220,23,1445.277,242.6645,48.6578,1117.0985,
15,1.446926299999177,1446.926299999177,1,BLINK 1 50 50,220,23,1442.8828,263.0169,51.3567,1106.6775,
16,1.4478865000000951,1447.886500000095,1,BLINK 1 50 50,220,23,1444.0778,264.5623,51.2206,1103.4557,
17,1.3959156000000803,1395.9156000000803,1,BLINK 1 50 50,220,23,1391.836,206.6025,47.371,1103.7219,
18,1.4650552999992215,1465.0552999992215,1,BLINK 1 50 50,220,23,1462.8309,273.185,50.848,1115.9364,
19,1.4006942000014533,1400.6942000014533,1,BLINK 1 50 50,220,23,1395.0058,213.3625,51.453,1112.2302,
20,1.4674113000000943,1467.4113000000943,1,BLINK 1 50 50,220,23,1463.0857,169.5289,49.584,1221.6131,
21,1.4652268999998341,1465.2268999998341,1,BLINK 1 50 50,220,23,1461.1817,227.3371,54.0733,1158.4934,
22,1.4700119999997696,1470.0119999997696,1,BLINK 1 50 50,220,23,1465.7168,258.8075,54.9706,1126.1372,
23,1.4300481999998738,1430.0481999998738,1,BLINK 1 50 50,220,23,1425.718,177.8412,60.3208,1161.9487,
24,1.5226515000013023,1522.6515000013023,1,BLINK 1 50 50,220,23,1518.728,208.3833,57.0209,1227.8812,
25,1.427056900000025,1427.056900000025,1,BLINK 1 50 50,220,23,1421.9234,218.6183,54.462,1126.0254,
26,1.3856869000010192,1385.6869000010192,1,BLINK 1 50 50,220,23,1382.1493,179.9803,50.4989,1111.4499,
27,1.4376088999997592,1437.6088999997592,1,BLINK 1 50 50,220,23,1434.4988,224.6764,50.7121,1134.1285,
28,1.4079055999991397,1407.9055999991397,1,BLINK 1 50 50,220,23,1404.3162,216.4962,50.6798,1111.215,
29,1.4007775999998557,1400.7775999998557,1,BLINK 1 50 50,220,23,1398.129,194.784,49.1967,1129.8431,
30,1.4637179999990622,1463.7179999990622,1,BLINK 1 50 50,220,23,1459.517,236.9809,52.7845,1145.4424,
31,1.3876861999997345,1387.6861999997345,1,BLINK 1 50 50,220,23,1385.5385,197.0072,50.2637,1114.0358,
32,1.453989300000103,1453.989300000103,1,BLINK 1 50 50,220,23,1451.625,235.0115,52.9827,1142.5044,
