trial,seconds,ms,parse_ok,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,0.6400932999999895,640.0932999999895,1,205,7,636.4161,217.5505,58.6014,349.6327,
2,0.6856161000000611,685.6161000000611,1,205,7,682.2938,247.0894,60.3085,357.5068,
3,0.667446800000107,667.446800000107,1,205,7,666.0109,260.6848,58.0145,337.3326,
4,0.6472282999998242,647.2282999998242,1,205,7,643.8929,235.3373,60.1692,341.2566,
5,0.6512568999996802,651.2568999996802,1,205,7,648.6448,244.6307,54.5014,337.3557,
6,0.6986665999997967,698.6665999997967,1,205,7,695.7232,271.4579,58.1233,359.1656,
7,0.5633281999998871,563.3281999998871,1,205,7,560.7826,122.4443,61.6567,366.1004,
8,0.5465262999996412,546.5262999996412,1,205,7,545.0944,124.5912,60.4693,355.0669,
9,0.5287382000001344,528.7382000001344,1,205,7,526.6181,120.5454,60.4002,337.1285,
10,0.5398466999999982,539.8466999999982,1,205,7,535.6925,109.7668,56.4627,356.2726,
11,0.6614789000000201,661.4789000000201,1,205,7,658.7309,239.4735,60.2388,350.5312,
12,0.6840189999998074,684.0189999998074,1,205,7,680.493,251.8961,61.7029,360.9153,
13,0.6866599999998471,686.6599999998471,1,205,7,682.849,252.313,58.7151,364.9247,
14,0.6590609999998378,659.0609999998378,1,205,7,654.8735,247.2267,57.8525,343.8357,
15,0.6856318000000101,685.6318000000101,1,205,7,682.2427,265.4616,58.0871,352.2414,
16,0.6917246999996678,691.7246999996678,1,205,7,688.4417,264.1626,58.9099,357.7762,
17,0.671415799999977,671.415799999977,1,205,7,667.4483,253.1451,58.2986,345.9527,
18,0.6826897000000827,682.6897000000827,1,205,7,679.1913,269.7712,57.7607,344.1528,
19,0.6919733999998243,691.9733999998243,1,205,7,688.2974,272.9372,60.7194,344.7721,
20,0.6741078000000016,674.1078000000016,1,205,7,670.0632,258.4833,59.0861,345.4816,
21,0.6661247000001822,666.1247000001822,1,205,7,662.892,250.0404,58.3921,346.3327,
22,0.6646897999999055,664.6897999999055,1,205,7,661.1143,243.0813,60.9089,350.4646,
23,0.6839644000001499,683.9644000001499,1,205,7,680.9169,267.3096,60.2137,345.2595,
24,0.6657344999998713,665.7344999998713,1,205,7,662.7116,249.285,58.3553,349.3804,
25,0.667026199999782,667.026199999782,1,205,7,664.1234,253.5619,58.3051,341.8264,
26,0.6536621000000196,653.6621000000196,1,205,7,651.4037,242.4074,58.6554,338.8888,
27,0.669110499999988,669.110499999988,1,205,7,665.3411,259.4358,58.8563,340.4291,
28,0.6639365999999427,663.9365999999427,1,205,7,660.358,258.3921,56.4732,330.031,
29,0.6901996000001418,690.1996000001418,1,205,7,686.8276,273.5779,56.7391,341.8788,
30,0.6738449999998011,673.8449999998011,1,205,7,670.6696,262.913,56.5679,333.9643,
31,0.6797110000002249,679.7110000002249,1,205,7,677.2383,260.71,58.5369,341.0306,
32,0.6649637000000439,664.9637000000439,1,205,7,663.0011,245.006,59.6813,343.9125,
33,0.6685864000000947,668.5864000000947,1,205,7,664.4291,256.8933,58.7154,326.9205,
34,0.6648153999999522,664.8153999999522,1,205,7,660.226,252.6003,53.4353,339.9862,
35,0.6940165000000889,694.0165000000889,1,205,7,689.8546,269.884,61.7227,347.9806,
36,0.6889744000000064,688.9744000000064,1,205,7,686.9812,269.9567,60.6003,339.6721,
37,0.6872481999998854,687.2481999998854,1,205,7,684.2804,263.6433,60.3109,344.703,
38,0.6900522000000819,690.0522000000819,1,205,7,686.7172,266.0709,59.8175,347.5402,
39,0.673750999999811,673.750999999811,1,205,7,670.7126,253.1677,61.0518,341.6737,
40,0.7019596999998612,701.9596999998612,1,205,7,698.1407,272.1298,61.2061,353.4409,
41,0.7017930000001797,701.7930000001797,1,205,7,697.9191,268.586,59.676,350.6105,
42,0.6712346999997862,671.2346999997862,1,205,7,668.6398,242.1333,61.6028,357.5402,
